id,name,movedHexes,targetDistance,attackerUnitID,attackerBlocks,attackerTerrainID,defenderUnitID,defenderBlocks,defenderTerrainID,isCombinedAttack,supportingUnitCountryID,supportingUnitID,supportingUnitBlocks,supportingUnitTerrainID,supportingUnitInSquare,supportingUnitMovedIntoMelee,expectedAllowed,expectedFinalDice
t600,FranceVsBritain_FrenchLineMeleeIntoHillVsBritishLineOnHill,1,1,french-line-infantry,4,clear,british-line-infantry,4,hill,,,,,,,,
t601,FranceVsBritain_FrenchLineMeleeOutOfHillVsBritishLineInClear,1,1,french-line-infantry,4,hill,british-line-infantry,4,clear,,,,,,,,
t602,FranceVsBritain_FrenchGrenadierMeleeIntoTownVsBritishLineInTown,1,1,french-grenadier,4,clear,british-line-infantry,4,town,,,,,,,,
t603,FranceVsBritain_FrenchGrenadierMeleeOutOfTownVsBritishLineInClear,1,1,french-grenadier,4,town,british-line-infantry,4,clear,,,,,,,,
t604,FranceVsBritain_FrenchLightInfantryMovedIntoForestMeleeAllowedVsBritishLineInClear,1,1,french-light-infantry,4,forest,british-line-infantry,4,clear,,,,,,,,
t605,FranceVsBritain_FrenchGrenadierMovedIntoForestMeleeBlockedVsBritishLineInClear,1,1,french-grenadier,4,forest,british-line-infantry,4,clear,,,,,,,,
t606,FranceVsBritain_BritishRiflesRangedIntoForestRange3VsFrenchLineInForest,0,3,british-rifles,3,clear,french-line-infantry,4,forest,,,,,,,,
t607,FranceVsBritain_FrenchLineRangedIntoForestRange3OutOfRangeVsBritishLineInForest,0,3,french-line-infantry,4,clear,british-line-infantry,4,forest,,,,,,,,
t608,FranceVsBritain_FrenchYoungGuardRangedIntoTownAdjacencyBlockedVsBritishLineInTown,0,1,french-young-guard,4,clear,british-line-infantry,4,town,,,,,,,,
t609,FranceVsBritain_BritishHorseArtilleryMoved1RangedIntoHillRange2AllowedVsFrenchLineOnHill,1,2,british-horse-artillery,3,clear,french-line-infantry,4,hill,,,,,,,,
t610,FranceVsBritain_BritishHorseArtilleryMoved2RangedIntoHillRange2BlockedVsFrenchLineOnHill,2,2,british-horse-artillery,3,clear,french-line-infantry,4,hill,,,,,,,,
t611,FranceVsBritain_BritishFootArtilleryMoved1RangedIntoTownRange3BlockedVsFrenchLineInTown,1,3,british-foot-artillery,3,clear,french-line-infantry,4,town,,,,,,,,
t612,FranceVsBritain_FrenchFootArtilleryStandingRangedIntoChurchRange4VsBritishLineInChurch,0,4,french-foot-artillery,3,clear,british-line-infantry,4,church,,,,,,,,
t620,FranceVsPortugal_FrenchLineMeleeIntoForestVsPortugueseLineInForest,1,1,french-line-infantry,4,clear,portuguese-line-infantry,4,forest,,,,,,,,
t621,FranceVsPortugal_FrenchYoungGuardMovedIntoWalledFarmMeleeAllowedVsPortugueseLineInClear,1,1,french-young-guard,4,walled-farm,portuguese-line-infantry,4,clear,,,,,,,,
t622,FranceVsPortugal_FrenchLineMeleeIntoTownVsPortugueseMilitiaInTown,1,1,french-line-infantry,4,clear,portuguese-militia-infantry,4,town,,,,,,,,
t623,FranceVsPortugal_PortugueseLightInfantryRangedIntoHillRange2VsFrenchGrenadierOnHill,0,2,portuguese-light-infantry,4,clear,french-grenadier,4,hill,,,,,,,,
t630,FranceVsSpain_SpanishLineMeleeIntoTownMovedPenaltyVsFrenchLineInTown,1,1,spanish-line-infantry,4,clear,french-line-infantry,4,town,,,,,,,,
t631,FranceVsSpain_SpanishLineMeleeIntoTownNoMoveBetterVsFrenchLineInTown,0,1,spanish-line-infantry,4,clear,french-line-infantry,4,town,,,,,,,,
t632,FranceVsSpain_SpanishMilitiaMeleeIntoMarshVsFrenchLineInMarsh,1,1,spanish-militia,4,clear,french-line-infantry,4,marsh,,,,,,,,
t633,FranceVsSpain_FrenchLightInfantryMovedIntoForestMeleeAllowedVsSpanishLineInForest,1,1,french-light-infantry,4,forest,spanish-line-infantry,4,forest,,,,,,,,
t634,FranceVsSpain_SpanishLightInfantryRangedIntoForestRange2VsFrenchGrenadierInForest,0,2,spanish-light-infantry,5,clear,french-grenadier,4,forest,,,,,,,,
t640,FranceVsAustria_AustrianGrenzerInfantryMeleeIntoForestVsFrenchLineInForest,1,1,austrian-grenzer-infantry,4,clear,french-line-infantry,4,forest,,,,,,,,
t641,FranceVsAustria_AustrianMilitiaMeleeIntoMarshVsFrenchLineInMarsh,1,1,austrian-militia,4,clear,french-line-infantry,4,marsh,,,,,,,,
t642,FranceVsAustria_FrenchOldGuardMeleeIntoCastleVsAustrianLineInCastle,1,1,french-old-guard,4,clear,austrian-line-infantry,5,castle,,,,,,,,
t643,FranceVsAustria_AustrianFootArtilleryStandingRangedIntoTownRange3VsFrenchLineInTown,0,3,austrian-foot-artillery,3,clear,french-line-infantry,4,town,,,,,,,,
t650,FranceVsPrussia_PrussianGuardGrenadierMeleeIntoSandQuarryVsFrenchLineInSandQuarry,1,1,prussian-guard-grenadier,4,clear,french-line-infantry,4,sand-quarry,,,,,,,,
t651,FranceVsPrussia_PrussianMilitiaMeleeIntoTownVsFrenchMilitiaInTown,1,1,prussian-militia,4,clear,french-militia,4,town,,,,,,,,
t652,FranceVsPrussia_PrussianLightInfantryRangedIntoForestRange2VsFrenchGrenadierInForest,0,2,prussian-light-infantry,4,clear,french-grenadier,4,forest,,,,,,,,
t653,FranceVsPrussia_PrussianHorseArtilleryMoved2RangedIntoHillRange2BlockedVsFrenchLineOnHill,2,2,prussian-horse-artillery,3,clear,french-line-infantry,4,hill,,,,,,,,
t660,FranceVsRussia_RussianGuardLightInfantryMeleeIntoForestVsFrenchLineInForest,1,1,russian-guard-light-infantry,4,clear,french-line-infantry,4,forest,,,,,,,,
t661,FranceVsRussia_RussianGuardGrenadierMeleeIntoTownVsFrenchMilitiaInTown,1,1,russian-guard-grenadier,4,clear,french-militia,4,town,,,,,,,,
t662,FranceVsRussia_RussianLightInfantryRangedIntoForestRange2VsFrenchGrenadierInForest,0,2,russian-light-infantry,3,clear,french-grenadier,4,forest,,,,,,,,
t663,FranceVsRussia_RussianGuardFootArtilleryStandingRangedIntoChurchRange4VsFrenchLineInChurch,0,4,russian-guard-foot-artillery,3,clear,french-line-infantry,4,church,,,,,,,,
